nome,municipio,telefone,email
EMEFEI DANTE GAZZETTA,NOVA ODESSA,(019) 0003466-2188 / (019) 0003466-2980,DGAZZETTA@NOVAODESSA.SP.GOV.BR
EMEFEI PROFESSORA HALDREY MICHELLE BUENO,NOVA ODESSA,(019) 0000000-0000 / (019) 0003466-1075,JSMANOEL@NOVAODESSA.SP.GOV.BR
EMEFEI VEREADOR AVELINO XAVIER ALVES  PONEIS,NOVA ODESSA,(000) 0000000-0000,
ENY CARVALHO DE ANDRADE PROFESSORA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003457-1017,EMEI.ENY@SANTABARBARA.SP.GOV.BR
ESCOLA DE EDUCACAO INFANTIL PROFESSORA NAIR VALENTE,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-6319,EMEI.NAIR@SANTABARBARA.SP.GOV.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR CLEITON DE OLIVEIRA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003457-1135,EMEI.CLEITON@SANTABARBARA.SP.GOV.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA AUREA NADIR MARTINELLI,SANTA BARBARA D OESTE,(019) 0003458-2227 / (019) 0003463-3009,EMEI.AUREANADIR@SANTABARBARA.SP.GOV.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA NEUZA CARLETO,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-0888,EMEI.NEUZA@SANTABARBARA.SP.GOV.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA RITA DE CASSIA TOLEDO MELLO SALVINO ALVES,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-7464,EMEIRITADECASSIA@CASADACRIANCASBO.ORG.BR
ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL E EDUCACAO INFANTIL ANTONIA FAGNOLI FURLAN,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003454-5668,EMEFEI.ANTONIAFAGNOLI@SANTABARBARA.SP.GOV.BR
EUFRASIA GARCIA DE SOUZA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0002221-8439,EMEIEUFRASIA@CASADACRIANCASBO.ORG.BR
EUVALDO DE QUEIROZ DIAS DR AREA DE DESENVOLVIMENTO INFANTIL,SANTA BARBARA D OESTE,(019) 0003458-3587 / (019) 0003458-5803,ADI.EUVALDO@SANTABARBARA.SP.GOV.BR
FLORESTAN FERNANDES PROFESSOR EMEF,AMERICANA,(019) 0000000-0000 / (019) 0003407-6090,FLORESTAM.SEDUC@GMAIL.COM
GERALDO ROCHA CAMPOS AREA DESENVOLVIMENTO INFANTIL,SANTA BARBARA D OESTE,(019) 0003455-2216 / (019) 0003463-3795,ADI.GERALDO@SANTABARBARA.SP.GOV.BR
GESSI TEREZINHA BUSCHINELLI CARNEIRO PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-5098,EMEFEI.GESSI@SANTABARBARA.SP.GOV.BR
GRAUNA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003407-5072,GRAUNA.SEDUC@GMAIL.COM
IRAIDES FERREIRA LOURENCO PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0003457-7373 / (019) 0003458-6418,EMEFEI.IRAIDES@SANTABARBARA.SP.GOV.BR
IRMA DULCE CAIC,SANTA BARBARA D OESTE,(000) 0003454-6380 / (000) 0003463-3608,CAIC.IRMADULCE@SANTABARBARA.SP.GOV.BR
JACINA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003462-3996,JACINA.SEDUC@GMAIL.COM
JAGUARI CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003468-2814,CCJAGUARI@GMAIL.COM
JOSE LUIZ GOMES DA SILVA VEREADOR ZELO EMEFEI,SANTA BARBARA D OESTE,(000) 0000000-0000 / (000) 0003463-8534,EMEFEI.ZELO@SANTABARBARA.SP.GOV.BR
JOSE MARIO DE MORAES PROF CEI,NOVA ODESSA,(019) 0003498-1034 / (019) 0098919-4281,CMEISANTARITA@NOVAODESSA.SP.GOV.BR
JOSE RENATO PEDROSO PROF CENTRO INTEG DE ED PUBLICA,SANTA BARBARA D OESTE,(000) 0000000-0000 / (000) 0003463-2322,CIEP.JOSERENATO@SANTABARBARA.SP.GOV.BR
JOVELINA DOMINGA MAZUCATTO ESCOLA MUN DE ED INFANTIL,SANTA BARBARA D OESTE,(000) 0000000-0000 / (000) 0003457-7977,EMEI.JOVELINA@SANTABARBARA.SP.GOV.BR
JURITI CASA DA CRIANCA,AMERICANA,(019) 0003407-5073 / (019) 0003461-9745,JURITI.SEDUC@GMAIL.COM
LEONEL DE MOURA BRIZOLA CIEP,SANTA BARBARA D OESTE,(000) 0003454-2229 / (000) 0003454-3340,CIEP.LEONELBRIZOLA@SANTABARBARA.SP.GOV.BR
LUZIA APARECIDA DA ROCHA PROFA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-1647,EMEI.LUZIA@SANTABARBARA.SP.GOV.BR
MAINA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-6624,EMEIMAINA@CASADACRIANCASBO.ORG.BR
MAIRA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003407-5225,CC.MAIRA@AMERICANA.SP.GOV.BR
MAJOI CRECHE,AMERICANA,(019) 0000000-0000 / (019) 0003461-5820,MAJOI.SEDUC@GMAIL.COM
MANACA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003468-3567,MANACA.SEDUC@GMAIL.COM
MANAI EMEI,AMERICANA,(019) 0003405-0313 / (019) 0003462-6157,MANAI.SEDUC@GMAIL.COM
MARIA ARAUJO DONA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-3418,EMEI.MARIAARAUJO@SANTABARBARA.SP.GOV.BR
MARIA AUGUSTA CANTO CAMARGO BILIA PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003457-4830,EMEFEI.MARIAAUGUSTA@SANTABARBARA.SP.GOV.BR
MARIA CECILIA BORRIERO MILANI PROFESSORA CMEI,NOVA ODESSA,(019) 0003466-1638 / (019) 0003476-0516,ARCOIRIS@NOVAODESSA.SP.GOV.BR
MARIA DE LOURDES RODRIGUES EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0002216-0670,EMEI.MARIADELOURDES@SANTABARBARA.SP.GOV.BR
MARIA MARTINIANO GOUVEA VALENTE PROFA EMEFEI  D BININHA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-3257,EMEFEI.DBININHA@SANTABARBARA.SP.GOV.BR
MARIA NILDE MASCELLANI CENTRO INTEGRADO DE EDUCACAO PUBLICA,AMERICANA,(000) 0003468-1807 / (000) 0003468-5170,JAGUARI.SEDUC@GMAIL.COM
MARIA REGINA BARBOSA CARPIM PROFA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-3382,EMEFEI.MARIAREGINA@SANTABARBARA.SP.GOV.BR
MARIANA FRACASSI SCHMIDT PROFESSORA EMEI,SANTA BARBARA D OESTE,(000) 0003455-4598 / (000) 0003499-1910,EMEFEI.MARIANA@SANTABARBARA.SP.GOV.BR
MARIO DANTAS DE MENEZES PADRE EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-5093,EMEI.PADREMARIO@SANTABARBARA.SP.GOV.BR
MILTON SANTOS PROFESSOR CENTRO INTEGRADO EDUCACAO PUBLICA,AMERICANA,(019) 0003467-1114 / (019) 0003467-1717,PRAIAAZUL.SEDUC@GMAIL.COM
OCTAVIO CESAR BORGHI PROFESSOR CIEP,AMERICANA,(019) 0000000-0000 / (019) 0003461-3962,CIDADEJARDIM.SEDUC@GMAIL.COM
OLIMPIA GELLI ROMI EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-3300,EMEI.OLIMPIA@SANTABARBARA.SP.GOV.BR
ONIVA DE MOURA BRIZOLA PROFESSORA CIEP,AMERICANA,(019) 0000000-0000 / (019) 0003469-1445,ZANAGA.SEDUC@GMAIL.COM
OSVALDO LUIZ DA SILVA VEREADOR EMEFEI,NOVA ODESSA,(019) 0003466-1634 / (019) 0003476-0509,VOLSILVA@NOVAODESSA.SP.GOV.BR
PANAMBY CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003467-1705,PANAMBY.SEDUC@GMAIL.COM
PATATIVA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003469-1979,PATATIVA.SEDUC@GMAIL.COM
PATURI EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003468-6094,PATURI.SEDUC@GMAIL.COM
PAULO AZENHA EMEF,NOVA ODESSA,(019) 0003466-2542 / (019) 0003476-0512,PAZENHA@NOVAODESSA.SP.GOV.BR
PAULO FREIRE EMEF,AMERICANA,(019) 0003408-1314 / (019) 0003462-5609,PAULOFREIRE.SEDUC@GMAIL.COM
PENHA MARIA PIRES DE ANDRADE MIRANDA CMEI,NOVA ODESSA,(019) 0000000-0000 / (019) 0003466-5903,CMEIPENHAMARIA@NOVAODESSA.SP.GOV.BR
PHILOMENA MAGALY MAKLUF ROSSETTI PROFESSORA CIEP,AMERICANA,(019) 0003468-1182 / (019) 0003478-2120,CIEP.SAOVITO@AMERICANA.SP.GOV.BR
PITANGA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003467-1631,PITANGA.SEDUC@GMAIL.COM
POTIRA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003468-6437,POTIRA.SEDUC@GMAIL.COM
PROF ALVINA MARIA ADAMSON EMEFEI,NOVA ODESSA,(019) 0003466-2179 / (019) 0003466-2979,AMADAMSON@NOVAODESSA.SP.GOV.BR
PURIFICACION SANCHES FONSECA PROFESSORA EMEFEI DONA PURA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003457-8881,EMEFEI.DPURA@SANTABARBARA.SP.GOV.BR
ROSA LEE CARR CONTI PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(000) 0003455-2379 / (000) 0003463-1164,EMEFEI.ROSALEE@SANTABARBARA.SP.GOV.BR
ROTARY EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-2829,EMEI.ROTARY@SANTABARBARA.SP.GOV.BR
RUTH GARRIDO ROQUE PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-7577,EMEF.RUTH@SANTABARBARA.SP.GOV.BR
SABIA EMEI,AMERICANA,(019) 0003405-0255 / (019) 0003407-0894,SABIA.SEDUC@GMAIL.COM
SALIME ABDO PROFESSOR EMEF,NOVA ODESSA,(019) 0000000-0000 / (019) 0003466-7234,EMEFSABDO@NOVAODESSA.SP.GOV.BR
SIMAO WELSH PREFEITO EMEFEI,NOVA ODESSA,(000) 0003466-7832 / (000) 0003476-0567,SWELSH@NOVAODESSA.SP.GOV.BR
SONIA BATAGLIA CARDOSO PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-3350,EMEFEI.SONIA@SANTABARBARA.SP.GOV.BR
SYLVINO CHINELATTO CAIC PROFESSOR,AMERICANA,(019) 0003408-1315 / (019) 0003462-3398,CAIC.SEDUC@GMAIL.COM
TAHIRA CASA DA CRIANCA,AMERICANA,(019) 0003407-2270 / (019) 0003461-3783,TAHIRA.SEDUC@GMAIL.COM
TANGARA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003461-9548,TANGARA.SEDUC@GMAIL.COM
TAPERA CRECHE MUNICIPAL,AMERICANA,(019) 0000000-0000 / (019) 0003468-6083,TAPERA.SEDUC@GMAIL.COM
TARAGUA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003465-1779,TARAGUA.SEDUC@GMAIL.COM
TELMA LAUDISSI DAVILA PROFESSORA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-1413,EMEI.TELMA@SANTABARBARA.SP.GOV.BR
TEMPO DE VIVER CENTRO MUNICIPAL EDUCACAO DO AUTISTA,AMERICANA,(019) 0000000-0000 / (019) 0003407-4575,TEMPODEVIVER.SEDUC@GMAIL.COM
TEREZINHA DE JESUS SOARES QUINALHA PROFESSOR EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-6592,EMEFEI.TEREZINHA@SANTABARBARA.SP.GOV.BR
THERESINHA ANTONIA MALAGUETTA MERENDA PROFESSORA EMEFEI,NOVA ODESSA,(019) 0003466-3744 / (019) 0003476-0525,JENCANTADO@NOVAODESSA.SP.GOV.BR
THEREZINHA DE CASTRO PACHECO SBRAVATTI PROFESSORA CIEP,SANTA BARBARA D OESTE,(000) 0000000-0000 / (000) 0003473-4579,CIEP.THEREZINHA@SANTABARBARA.SP.GOV.BR
URUPE CASA DA CRIANCA,AMERICANA,(019) 0003469-1277 / (019) 0003469-3119,URUPE.SEDUC@GMAIL.COM
VANDERLEI MATARAZZO EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-5085,EMEI.VANDERLEI@SANTABARBARA.SP.GOV.BR
VANIA MEIRELLES DEXTRO MAUERBERG PROFESSORA CMEI,NOVA ODESSA,(019) 0000000-0000 / (019) 0003466-3634,PICAPAU@NOVAODESSA.SP.GOV.BR
VERA LUCIA BARBOSA DE LIMA JULIATO EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-6070,EMEI.VERALUCIA@SANTABARBARA.SP.GOV.BR
VICTOR FACCHIN CANOSSIANO PADRE CMEI,NOVA ODESSA,(000) 0003466-2181 / (000) 0003466-3234,PVFACCHIN@NOVAODESSA.SP.GOV.BR
VICTORIO FREGUGLIA PADRE CENTRO INTEGRADO DE EDUC PUBLICA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-2825,CIEP.VICTORIO@GMAIL.COM
VILMA MALUF MANTOVANI PROFESSORA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-3463,EMEI.VILMA@SANTABARBARA.SP.GOV.BR
WALDEREZ GAZZETTA PROFESSORA CMEI,NOVA ODESSA,(019) 0003466-3052 / (019) 0003476-0524,JBARRO@NOVAODESSA.SP.GOV.BR
WALTER MERENDA PROFESSOR CMEI,NOVA ODESSA,(019) 0003466-1305 / (019) 0003498-1362,BEMTEVI@NOVAODESSA.SP.GOV.BR
ZINHO SAES EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-1525,EMEI.ZINHO@SANTABARBARA.SP.GOV.BR
AMALIA MORANO TENCARTE CEI,ANDRADINA,(018) 0000000-0000 / (018) 0003702-2010,GESTORCEI@ANDRADINA.SP.GOV.BR
AMANDABA BAIRRO EMEI,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-4909,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
ANNA MARIA MARINHO NUNES PROFESSORA EMEF,ANDRADINA,(018) 0000000-0000 / (018) 0003722-1689,EMEFANNAMARIA@IG.COM.BR
ANTINISKA DE LUCCHI MUSTAFA CEI,MIRANDOPOLIS,(018) 0003701-4699 / (018) 0003701-4909,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
ANTONIA GIROTTO TERENCI CEI,MIRANDOPOLIS,(018) 0003701-4909 / (018) 0003701-6866,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
ANTONIETA BIM STORTI EMEIEF E SUPLENCIA,MURUTINGA DO SUL,(018) 0000000-0000 / (018) 0003788-1138,ESCOLABIMSTORTI@MURUTINGADOSUL.SP.GOV.BR
ANTONIO CUSTODIO BORGES EMEI,CASTILHO,(018) 0000000-0000 / (018) 0003741-2724,SECRETARIA_EMEI@HOTMAIL.COM
APARECIDA BENEDITA BRITO DA SILVA PROFESSORA EMEF,ILHA SOLTEIRA,(018) 0003742-2153 / (018) 0003742-4387,EMEF.ABBS@YAHOO.COM.BR
ASSUMPTA SCATENA GARCIA EMEI,PEREIRA BARRETO,(018) 0000000-0000 / (018) 0003704-3114,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
BAIRRO 1 ALIANCA EMEI,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-4909,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
BAIRRO 2 ALIANCA EMEI,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-4909,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
BAIRRO 3 ALIANCA EMEI,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-4909,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
BAIRRO PAULO SERGIO EMEI DO,CASTILHO,(018) 0000000-0000 / (018) 0003741-2056,EMEIPAULOSERGIO@HOTMAIL.COM
BENEDITO LOURIVAL JERONYMO EMEF,ITAPURA,(018) 0000000-0000 / (018) 0003745-1363,EMEF@ITAPURA.SP.GOV.BR
CEI MARIA IVONE BIAZETTO FERNANDES,ILHA SOLTEIRA,(018) 0000000-0000 / (018) 0003742-4814,EDUCACAO@ILHASOLTEIRA.SP.GOV.BR
CELDA MELLO OLIVEIRA EMEB,PEREIRA BARRETO,(018) 0000000-0000 / (018) 0003704-4377,CELDAMELLO@YAHOO.COM.BR
CENTRO DE EDUCACAO INFANTIL GRACIOSA MILOCH NOZELA,MIRANDOPOLIS,(018) 0003701-4909 / (018) 0003701-5057,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
CENTRO DE EDUCACAO INFANTIL GUILHERME GIANTOMASSI GOMES,ILHA SOLTEIRA,(018) 0000000-0000 / (018) 0003743-6064,GUILHERME.G.GOMES0391@GMAIL.COM
CENTRO DE EDUCACAO INFANTIL IRENE SUEKO MIYASHIRO,ANDRADINA,(000) 0000000-0000 / (000) 0003702-2010,GESTORCEI@ANDRADINA.SP.GOV.BR
CENTRO DE EDUCACAO INFANTIL MILTON FRANCISCO JORGE,ANDRADINA,(000) 0000000-0000,
CENTRO DE EDUCACAO INFANTIL ODARIO ALVES CAVALCANTE,GUARACAI,(018) 0000000-0000 / (018) 0003705-1614,PMG.CEI@OUTLOOK.COM
CENTRO EDUCATIVO MUNICIPAL DE PROMOCAO E INTERACAO SOCIAL,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-6001,CEMPIS@MIRANDOPOLIS.SP.GOV.BR
CLARA GOZZO GERALDO EMEI,ANDRADINA,(018) 0003722-1691 / (018) 0003723-0205,POLOHUMBERTOPASSARELLI@GMAIL.COM
CRECHE ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFA ADELAIDE NOBREGA ARRAES FOIZER,CASTILHO,(018) 0000000-0000 / (018) 0003741-0800,CREMEI.ADELAIDE@GMAIL.COM
CRECHE ESCOLA MUNICIPAL MARIA NERIS DE SOUZA,NOVA INDEPENDENCIA,(018) 0000000-0000 / (018) 0003744-1219,CRECHESAGJ@GMAIL.COM
CRIANCA FELIZ CRECHE CEI,CASTILHO,(018) 0000000-0000 / (018) 0003741-3333,CEICRIANCAFELIZ2015@HOTMAIL.COM
DANIELLE CHRISTIANI NOGUEIRA PADILHA EMEI,SUD MENNUCCI,(018) 0000000-0000 / (018) 0003786-1222,EMEI_DANIELLE_SUD@HOTMAIL.COM
DIJANIRA BOZZO JORGE PROFESSORA EMEIEF,CASTILHO,(018) 0000000-0000 / (018) 0003741-1876,EMEIEFDIJANIRA@HOTMAIL.COM
DOCE INFANCIA CENTRO DE EDUCACAO INAFANTIL,ILHA SOLTEIRA,(018) 0000000-0000 / (018) 0003742-4064,CEIDOCEINFANCIA@YAHOO.COM.BR
DOLVINA FALLEIROS CEI,MIRANDOPOLIS,(018) 0003701-6600 / (018) 0037014-9009,SECRETARIAEMEIS@MIRANDOPOLIS.SP.GOV.BR
EBE AURORA FERNANDES MARCOS PROFESSORA EMEF,MIRANDOPOLIS,(018) 0003701-0414 / (018) 0003701-1029,EBEAURORA@MIRANDOPOLIS.SP.GOV.BR
EDITH BARBOSA VASCONCELLOS PROFESSORA CEMEI,PEREIRA BARRETO,(018) 0000000-0000 / (018) 0003704-4831,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
EDUCADOR PAULO FREIRE EMEIEF,ANDRADINA,(000) 0000000-0000 / (000) 0003722-3153,MVQTAMAI@GMAIL.COM
EMEF ANDRE FIRMINO DO AMARAL,NOVA INDEPENDENCIA,(000) 0000000-0000 / (000) 0003744-1231,EMEFANDREFDOAMARAL@HOTMAIL.COM
EMEF MARIA FLAVIA GALVAO FUMAGALLI,SUD MENNUCCI,(018) 0000000-0000 / (018) 0003786-1119,EMEFMARIAFLAVIAFUMAGALLI@GMAIL.COM
EMEI SUELI APARECIDA GIANOTTO JOANINI,NOVA INDEPENDENCIA,(018) 0000000-0000 / (018) 0003744-1286,EMEIMV@HOTMAIL.COM
EMILIA EMEI,PEREIRA BARRETO,(000) 0000000-0000 / (000) 0003704-3559,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
ESCOLA MUN DE ED INFANTIL JULIANA PIMENTEL BARAKAT,ILHA SOLTEIRA,(018) 0000000-0000 / (018) 0003743-6048,JPBPATINHODAGUAESCOLA@YAHOO.COM.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL FLORICIDA APARECIDA COGHI,SUD MENNUCCI,(018) 0000000-0000 / (018) 0003786-1553,CEI.FLORICIDA@HOTMAIL.COM
EULALIA MATOS OLIVEIRA EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-6738,EMEFANNAMARIA@IG.COM.BR
EVA COSTA DE SOUZA EMEI,ILHA SOLTEIRA,(018) 0000000-0000 / (018) 0003742-4345,ESCOLAEVACOSTA@YAHOO.COM.BR
EXPEDICIONARIO EUPHOSINO DE ALMEIDA CEI,ANDRADINA,(018) 0003722-0297 / (018) 0003722-1691,POLOHUMBERTOPASSARELLI@GMAIL.COM
FAZENDA ESMERALDA EMEF,PEREIRA BARRETO,(000) 0000000-0000 / (000) 0003704-4114,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
FERNANDA LUSTOZA DA SILVA EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-3825,EMEFZORAIDEOLIVEIRA.53@HOTMAIL.COM
GERSON PAULINO DE MELO PROFESSOR CEI,ANDRADINA,(000) 0003722-4450 / (000) 0003722-8211,JOSEPHAJESUSCARREIRA@BOL.COM.BR
GILDO PEREIRA EMEF,NOVA INDEPENDENCIA,(018) 0000000-0000 / (018) 0003744-1281,ESCOLAGILDOPEREIRA@HOTMAIL.COM
HARUMI KITAHARA EMEF,MIRANDOPOLIS,(018) 0000000-0000 / (018) 0003701-1288,HARUMI@MIRANDOPOLIS.SP.GOV.BR
HELIO FARIA PROFESSOR EMEF,MIRANDOPOLIS,(018) 0003701-1066 / (018) 0003701-4497,HELIOFARIA@MIRANDOPOLIS.SP.GOV.BR
HIRAYUKI ENOMOTO COMENDADOR EMEB,PEREIRA BARRETO,(018) 0003704-4577 / (018) 0003704-4767,HIRA_ENOMOTO@YAHOO.COM.BR
HOMERO BREMBATTI CALVOSO EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003723-0221,EMEFONDINAHCASTILHO@YAHOO.COM.BR
HUMBERTO PASSARELLI EMEBI,ANDRADINA,(018) 0003722-0205 / (018) 0003722-1691,POLOHUMBERTOPASSARELLI@GMAIL.COM
ITAPURA EMEI DE,ITAPURA,(018) 0000000-0000 / (018) 0003745-1267,EMEI@ITAPURA.SP.GOV.BR
IZABEL FELIPPINI PIZZO CEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-1689,EMEFANNAMARIA@IG.COM.BR
JOAO BATISTA PINTO EDUCANDARIO MUNICIPAL,LAVINIA,(018) 0000000-0000 / (018) 0003698-1322,SECRETARIAPREZINHO@HOTMAIL.COM
JOAO CARREIRA EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-1692,EMEFONDINAHCASTILHO@YAHOO.COM.BR
JOAQUIM FRANCO DE MELLO CORONEL EMEF,LAVINIA,(018) 0000000-0000 / (018) 0003698-1283,EMEFLAVINIA@HOTMAIL.COM
JOSE BENIGO GOMES EMEF,SUD MENNUCCI,(018) 0000000-0000 / (018) 0003786-6130,JBGSUD2@HOTMAIL.COM
JOSE OLAVO DINIZ DOUTOR EMEI,GUARACAI,(018) 0000000-0000 / (018) 0003705-1614,PMG.EDUCACAO@OUTLOOK.COM
JOSEPHA DE JESUS CARREIRA EMEF,ANDRADINA,(018) 0003722-4450 / (018) 0003722-8211,JOSEPHAJESUSCARREIRA@BOL.COM.BR
JOSEPHA DE JESUS CARREIRA EMEI,ANDRADINA,(018) 0003722-3033 / (018) 0003722-4450,JOSEPHAJESUSCARREIRA@BOL.COM.BR
LEONOR SALOMAO EMEF,ANDRADINA,(018) 0003722-0220 / (018) 0003722-4377,POLOEMEFLEONORSALOMAO@GMAIL.COM
LEONOR SALOMAO EMEI,ANDRADINA,(018) 0003722-4377 / (018) 0003722-8211,POLOEMEFLEONORSALOMAO@GMAIL.COM
LOURDES SILVA CARDOSO CENTRO DE EDUCACAO INFANTIL,ANDRADINA,(018) 0003722-0358 / (018) 0003722-1692,EMEFONDINAHCASTILHO@YAHOO.COM.BR
LUCIA MARIA DONATO GARCIA EMEF,ILHA SOLTEIRA,(018) 0003742-2527 / (018) 0003742-4385,EMEFLMDG@YAHOO.COM.BR
MARGARETH ALVES MARTINS FERREIRA CRECHE MUNICIPAL,PEREIRA BARRETO,(000) 0000000-0000 / (000) 0003704-4363,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
MARIA AMALIA DE FARIA GONFIANTINI PROFA CRECHE MUNICIPAL,LAVINIA,(018) 0000000-0000 / (018) 0003698-1556,CRECHELAVINIA@HOTMAIL.COM
MARIA APARECIDA BUZACHERO BANDEIRA EMEIEF,CASTILHO,(018) 0000000-0000 / (018) 0009786-4774,EMEIEFMARIAAPARECIDA@HOTMAIL.COM
MARIA DAURIA SILVA OLIVEIRA PROFESSORA EMEIEF,CASTILHO,(018) 0003741-2074 / (018) 0099738-1436,MARIADAURIASOLIVEIRA@HOTMAIL.COM
MARIA E VENTUROLLI PINESE EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-3825,EMEFZORAIDEOLIVEIRA.53@HOTMAIL.COM
MARIA ELZA AGUIAR DOMINGUES EMEB,PEREIRA BARRETO,(018) 0000000-0000 / (018) 0003704-4622,MARIAELZADEAGUIAR@YAHOO.COM.BR
MARIA JOSE VIEIRA TELLES CRECHE MUNICIPAL,CASTILHO,(018) 0000000-0000 / (018) 0003741-3304,CRECHEMUSATELLES@HOTMAIL.COM
MARIA VERA QUENTAL TAMAI PROFESSORA EMEBI,ANDRADINA,(018) 0003722-3153 / (018) 0003722-3833,MVQTAMAI@GMAIL.COM
MARIA VERA QUENTAL TAMAI PROFESSORA EMEI,ANDRADINA,(018) 0000000-0000 / (018) 0003722-3153,MVQTAMAI@GMAIL.COM
MARQUES DE RABICO EMEI,PEREIRA BARRETO,(018) 0000000-0000 / (018) 0003704-3176,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
MAURO ROBERTO MANOEL PROFESSOR EMEF,CASTILHO,(018) 0003741-1147 / (018) 0003741-3330,ESCOLAMAUROROBERTO@HOTMAIL.COM
MILHEN CARLOS FARHAT PROFESSOR CEMEI,PEREIRA BARRETO,(018) 0003704-2930 / (018) 0003704-4114,EDUCACAO@PEREIRABARRETO.SP.GOV.BR
